Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,794,784,865,908,1030,670,1054,0.0,False
jmeter_view_page:open_page,7068,342,325,412,462,566,254,816,0.0,False
jmeter_view_dashboard,1221,692,682,759,807,911,605,965,0.0,False
jmeter_comment_page,915,125,120,137,151,246,104,360,0.0,False
jmeter_view_attachment,615,258,244,318,343,421,205,659,0.0,False
jmeter_view_blog,1525,421,399,538,579,686,292,851,0.0,False
jmeter_create_and_edit_page:create_page_editor,1062,229,222,247,259,388,197,603,0.0,False
jmeter_search_cql:recently_viewed,1365,33,32,41,44,58,16,193,0.0,False
jmeter_search_cql:search_results,1365,357,348,410,439,540,231,679,0.0,False
jmeter_create_and_edit_page:create_page,1058,452,439,501,549,652,383,726,0.0,False
jmeter_create_and_edit_page:open_editor,1058,101,96,111,121,204,87,341,0.0,False
jmeter_create_and_edit_page:edit_page,1041,494,480,544,600,674,434,835,0.0,False
jmeter_create_blog:blog_editor,452,247,239,267,285,410,216,566,0.0,False
jmeter_create_blog:feel_and_publish,452,489,478,526,545,670,440,838,0.0,False
jmeter_upload_attachment,744,461,432,600,675,756,343,1059,0.0,False
jmeter_like_page,296,42,32,57,59,110,29,186,0.0,False
selenium_login:open_login_page,1199,136,124,166,173,249,114,398,0.0,False
selenium_login:login_and_view_dashboard,1199,383,373,459,474,636,275,694,0.0,False
selenium_login,1199,598,587,679,701,854,471,1025,0.0,False
selenium_view_page,1199,401,376,509,553,667,269,1009,0.0,False
selenium_log_out,1199,151,142,186,195,227,118,339,0.0,False
